Team,City,StadiumName,Built,AttenanceperGame,Time,HRperGame,TicketPrice,Diamondbacks,Braves,Orioles,RedSox,Cubs,WhiteSox,Reds,Indians,Rockies,Tigers,Astros,Royals,Angels,Dodgers,Marlins,Brewers,Twins,Mets,Yankees,As,Phillies,Pirates,Padres,Mariners,Giants,Cardinals,Rays,Rangers,BlueJays,Nationals,latitude,longitude
Diamondbacks,Arizona,Chase Field,1998,"26,350",3:09,1.51,58.14,0.527,0.465,0.778,0.333,0.608,0.667,0.431,0.636,0.644,0.588,0.569,0.222,0.357,0.478,0.623,0.493,0.556,0.478,0.444,0.467,0.537,0.557,0.644,0.417,0.429,0.423,0.455,0.467,0.364,0.462,33.445319,-112.066738
Braves,Atlanta,SunTrust Park,2017,"30,929",3:04,0.95,101.08,1,0.457,0,0,0,0,0.333,0,0.333,0,0,0,0,0.333,0.7,0.667,0,0.3,0,0,0.444,0.5,1,0.333,0.75,0,0,0.333,0.5,0.333,33.890695,-84.467642
Orioles,Baltimore,Oriole Park at Camden Yards,1992,"25,042",3:09,1.67,78.19,0.444,0.467,0.514,0.415,0.167,0.491,0.833,0.491,0.5,0.584,0.636,0.644,0.538,0.5,0.417,0.5,0.552,0.368,0.424,0.471,0.517,0.9,0.429,0.638,0.333,0.444,0.538,0.533,0.5,0.659,39.283668,-76.621815
Red Sox,Boston,Fenway Park,1912,"36,021",3:20,0.94,102.09,0.667,0.455,0.58,0.569,0.444,0.587,1,0.523,0.636,0.57,0.682,0.551,0.583,0.833,0.7,0.573,0.564,0.583,0.497,0.621,0.704,0.833,0.667,0.619,1,0.5,0.627,0.626,0.532,0.733,42.34643,-71.097569
Cubs,Chicago,Wrigley Field,1914,"39,501",3:09,1.41,150.63,0.543,0.573,0.667,0.5,0.533,0.5,0.518,0.571,0.543,0.182,0.522,0.571,0.571,0.507,0.525,0.524,0.667,0.542,0.364,0.667,0.552,0.529,0.586,0.667,0.513,0.535,0.5,0.556,0.667,0.523,41.948111,-87.655653
White Sox,Chicago,Guaranteed Rate Field,1991,"20,117",3:10,1.22,30.26,0.333,0.667,0.535,0.478,0.536,0.548,0.75,0.502,0.333,0.571,0.633,0.55,0.54,0.636,0.667,0.654,0.54,0.6,0.487,0.488,0.6,0.643,0.556,0.617,0.625,0.545,0.603,0.603,0.55,0.333,41.830078,-87.634021
Reds,Cincinnati,Great American Ball Park,2003,"22,678",3:03,1.44,79.71,0.49,0.6,0.5,0.125,0.504,0.167,0.516,0.605,0.532,0.6,0.467,0.375,0.5,0.385,0.592,0.58,0.5,0.354,0.5,0.8,0.52,0.538,0.469,0.167,0.563,0.519,0.667,0.625,0.444,0.56,39.097379,-84.506844
Indians,Cleveland,Progressive Field,1994,"25,286",3:06,1.17,65.22,0.625,0.333,0.674,0.505,0.545,0.518,0.623,0.561,0.714,0.587,0.667,0.605,0.577,0.167,0.556,0.545,0.564,0.333,0.378,0.606,0.625,0.667,0.583,0.51,0.333,0.636,0.667,0.461,0.604,0.625,41.495726,-81.685282
Rockies,Colorado,Coors Field,1995,"36,465",3:11,1.36,59.63,0.502,0.533,0.667,0.625,0.558,0.417,0.584,0.818,0.549,0.667,0.577,0.571,0.154,0.482,0.598,0.629,0.5,0.6,0.636,0.571,0.494,0.563,0.561,0.421,0.566,0.517,0.6,0.556,0.778,0.57,39.755862,-104.994183
Tigers,Detriot,Comerica Park,2000,"28,662",3:14,1.35,51.17,0.471,0.833,0.483,0.478,0.625,0.527,0.625,0.521,0.667,0.522,0.739,0.521,0.444,0.545,0.8,0.583,0.509,0.556,0.5,0.431,0.556,0.565,1,0.519,0.5,0.8,0.556,0.513,0.468,0.875,42.339294,-83.04884
Astros,Houston,Minute Maid Park,2000,"9,675",3:10,1.52,55.69,0.42,0.458,0.75,0.429,0.491,0.526,0.527,0.409,0.711,0.55,0.528,0.429,0.58,0.558,0.558,0.615,0.476,0.565,0.368,0.52,0.6,0.689,0.467,0.545,0.347,0.5,0.407,0.405,0.714,0.531,29.756839,-95.355417
Royals,Kansas City,Kauffman Stadium,1973,"27,412",3:02,1.09,43.48,0.333,0.6,0.516,0.548,0.556,0.529,0.625,0.521,0.727,0.533,0.419,0.525,0.482,0.667,0.444,0.598,0.517,0.6,0.465,0.51,0.667,0.727,0.667,0.556,0.727,0.359,0.592,0.552,0.531,0.333,39.051387,-94.480633
Angels,Los Angeles,Angel Stadium,1966,"37,279",3:11,1.2,32.32,0.455,0.556,0.495,0.513,0.286,0.548,0.833,0.529,0.684,0.558,0.49,0.483,0.533,0.632,0.667,0.542,0.528,0.444,0.534,0.501,0.875,0.556,0.471,0.567,0.455,0.333,0.575,0.556,0.546,0.625,33.800028,-117.883041
Dodgers,Los Angeles,Dodger Stadium,1962,"46,492",3:11,1.42,44.99,0.577,0.585,0.667,0.667,0.569,0.5,0.543,0.333,0.621,0.636,0.601,0.833,0.526,0.576,0.548,0.569,0.833,0.596,0.5,0.615,0.552,0.609,0.569,0.588,0.552,0.515,0.8,0.5,0.5,0.654,34.073571,-117.240154
Marlins,Miami,Marlins Park,2012,"21,179",3:06,1.22,57.85,0.5,0.352,0.667,0.6,0.571,0.333,0.571,0.333,0.714,0.6,0.667,0.333,0.667,0.368,0.496,0.5,1,0.526,1,0.4,0.518,0.474,0.632,1,0.526,0.35,0.286,0.5,0.333,0.5,25.778221,-80.219715
Brewers,Milwaukee,Miller Park,2001,"30,378",3:10,1.41,54.71,0.518,0.472,0.778,0.5,0.486,0.222,0.51,0.8,0.554,0.333,0.587,0.375,0.222,0.423,0.541,0.517,0.489,0.491,0.667,0.6,0.491,0.655,0.574,0.667,0.476,0.386,0.333,0.4,0.6,0.614,43.028315,-87.971428
Twins,Minnesota,Target Field,2010,"25,324",3:11,1.36,54.89,0.833,0.2,0.464,0.417,0.5,0.526,0,0.459,0.5,0.397,0.438,0.486,0.517,0.333,0.5,0.6,0.465,0,0.286,0.516,0.556,0,0.857,0.5,0,1,0.276,0.581,0.357,0,44.981714,-93.27806
Mets,New York,Citi Field,2009,"30,378",3:09,1.25,69.31,0.467,0.439,1,0.333,0.533,0.4,0.533,0,0.563,0.333,0.667,0.6,0.5,0.393,0.554,0.448,0.833,0.495,0.348,0.625,0.53,0.581,0.552,0,0.433,0.588,0.333,0.6,1,0.349,40.756755,-73.845984
